Image,Country,Title,Offers,Link
https://specials.priceless.com/mastercard/images/c6932c35-79fa-43c7-be94-e1cf90dbeceb.jpg,Singapore,Mount Faber Leisure Group,Free Kids’ meal with min spend of $80 at Arbora,https://specials.priceless.com/en-in/offers/Mount_Faber_Leisure_Group?Oid=202410030002&issuerId=201810190006&productId=202110290002
https://specials.priceless.com/mastercard/images/f2c6b21b-17d4-4277-bb27-2dae2d54bd5a.jpg,Singapore,Mount Faber Leisure Group,Free Kids’ meal with min spend of $50 per receipt at Good Old Days’ Food Court,https://specials.priceless.com/en-in/offers/Mount_Faber_Leisure_Group?Oid=202410030004&issuerId=201810190006&productId=202110290002
https://specials.priceless.com/mastercard/images/21c15d89-37cf-4201-a449-eb4ea1cbcc86.jpg,Singapore,Mount Faber Leisure Group,25% off on Cable Car Sky Pass (Round Trip) + SkyOrb Cabin (One-way) bundle,https://specials.priceless.com/en-in/offers/Mount_Faber_Leisure_Group?Oid=202410030003&issuerId=201810190006&productId=202110290002
https://specials.priceless.com/mastercard/images/f777cd06-a1c5-4598-9842-f1f92a730130.jpg,India,Musafir,Up to Rs. 2000 off on International Holidays,https://specials.priceless.com/en-in/offers/Musafir?Oid=202410210005&issuerId=201810190006&productId=202110290002
https://specials.priceless.com/mastercard/images/89fcbb290b25988f9f323ca88562f5211541489677401.JPEG,"Australia, China, Hong Kong, India, Indonesia, Japan, Macao, Malaysia, New Zealand, Online, Philippines, Singapore, South Korea, Sri Lanka, Taiwan, Thailand, Vietnam",MyUS.com,Enjoy free membership and discounts of up to 30% with Mastercard,https://specials.priceless.com/en-in/offers/MyUS_com?Oid=201811061324&issuerId=201810190006&productId=202110290002
https://specials.priceless.com/mastercard/images/cc4060cd-4e9c-4517-abf9-f13fe92e22bd.jpg,Myanmar,Poulet Myanmar,Enjoy 5% off total bill,https://specials.priceless.com/en-in/offers/Poulet_Myanmar?Oid=202409160004&issuerId=201810190006&productId=202110290002
https://specials.priceless.com/mastercard/images/5f93dd2d-ae07-4368-b051-f6f8350a8489.png,Malaysia,Prince Court Medical Centre,10% Off All Health Screening Packages,https://specials.priceless.com/en-in/offers/Prince_Court_Medical_Centre?Oid=202212020001&issuerId=201810190006&productId=202110290002
https://specials.priceless.com/mastercard/images/ee0424ee-afb6-410f-8930-be5554f229dc.jpg,India,Quick Heal,40% off on Quick Heal Products on MRP,https://specials.priceless.com/en-in/offers/Quick_Heal?Oid=202407180001&issuerId=201810190006&productId=202110290002
https://specials.priceless.com/mastercard/images/f2190073-4812-4296-bcb3-ded0ad01791f.jpg,India,R for Rabbit,10% off on Sitewide,https://specials.priceless.com/en-in/offers/R_for_Rabbit?Oid=202405030005&issuerId=201810190006&productId=202110290002
https://specials.priceless.com/mastercard/images/06a012b0-0f6c-46a4-8311-6876eb5fdb40.jpg,India,Raw Fruit,15% off on Minimum Order Value of Rs. 1000,https://specials.priceless.com/en-in/offers/Raw_Fruit?Oid=202405030007&issuerId=201810190006&productId=202110290002
https://specials.priceless.com/mastercard/images/7676aa46-020f-42de-aca6-5cea7fe696e5.jpg,India,Repose Mattress,Extra 5% off on Mattress,https://specials.priceless.com/en-in/offers/Repose_Mattress?Oid=202404100005&issuerId=201810190006&productId=202110290002
https://specials.priceless.com/mastercard/images/0676f242-b618-42bd-a326-409b40a0f574.jpg,India,Safari,15% off on Minimum Order Value of Rs. 5000 & Above,https://specials.priceless.com/en-in/offers/Safari?Oid=202407250002&issuerId=201810190006&productId=202110290002
https://specials.priceless.com/mastercard/images/1e76224f-0fb1-453e-8a0a-cdd4e384dadb.jpg,Sri Lanka,Saree Mandir,Enjoy 17.5% ff on your purchases when you pay with your Mastercard !,https://specials.priceless.com/en-in/offers/Saree_Mandir_?Oid=202410250019&issuerId=201810190006&productId=202110290002
https://specials.priceless.com/mastercard/images/f27e58f5-c351-4255-a93e-d5066576838a.jpg,Myanmar,Sayarsan Hotel Yangon,"Enjoy 10% off Deluxe, Premier & Executive Room",https://specials.priceless.com/en-in/offers/Sayarsan_Hotel_Yangon?Oid=202409160001&issuerId=201810190006&productId=202110290002
https://specials.priceless.com/mastercard/images/ebcead3d-b9a9-4393-a1b1-d2f5247d2ef3.jpg,Singapore,Singapore Airlines Online Sales,Book your flights with Singapore Airlines and receive SGD50 worth of KrisPay miles to shop and dine,https://specials.priceless.com/en-in/offers/Singapore_Airlines_Online_Sales?Oid=202411050002&issuerId=201810190006&productId=202110290002
